"","date","total","Armed_Assault","Bombing","Assisination","Hijacking","Hostage","Kidnapping","Facility_attack","Unarmed_assault","Unknown"
"1","2007-04-15",1,0,0,1,0,0,0,0,0,0
"2","2007-06-07",2,1,0,2,0,0,1,0,0,0
"3","2007-11-11",1,1,0,1,0,0,1,0,0,0
"4","2007-11-14",1,0,0,1,0,0,0,0,0,0
"5","2007-11-19",1,0,0,1,0,0,0,0,0,0
"6","2007-11-20",1,0,1,1,0,0,0,0,0,0
"7","2008-03-01",1,0,0,1,0,0,0,0,0,0
"8","2008-03-09",1,0,1,1,0,0,0,0,0,0
"9","2008-04-02",1,0,0,1,0,0,0,0,0,0
"10","2008-05-11",1,1,1,1,0,0,1,0,0,0
"11","2008-11-02",1,0,1,1,0,0,0,0,0,0
"12","2008-11-09",1,1,1,1,0,0,0,1,0,0
"13","2008-11-13",1,1,0,1,0,0,0,0,0,0
"14","2008-11-20",1,0,2,1,0,0,0,0,0,0
"15","2008-12-11",2,1,0,2,0,0,0,0,0,0
"16","2008-12-21",1,0,1,1,0,0,0,0,0,0
"17","2008-12-29",1,0,0,1,0,0,0,0,0,0
"18","2009-04-26",1,0,1,1,0,0,0,0,0,0
"19","2009-04-29",1,1,1,1,0,0,0,0,0,1
"20","2009-06-04",1,0,0,1,0,0,0,1,0,1
"21","2009-07-13",1,1,2,1,0,0,1,0,0,0
"22","2009-07-22",1,0,0,1,0,0,1,0,0,0
"23","2009-07-29",1,2,0,1,0,0,0,0,0,0
"24","2009-09-07",1,0,0,1,0,0,1,0,0,1
"25","2009-09-10",1,0,4,1,0,0,0,0,0,0
"26","2009-09-26",1,0,0,1,0,0,0,0,0,0
"27","2009-12-19",1,0,0,1,0,0,0,1,0,0
"28","2009-12-28",1,0,0,1,0,0,0,0,0,0
"29","2010-05-10",1,2,0,1,0,0,0,0,0,0
"30","2010-07-08",2,1,3,2,0,0,0,0,0,0
"31","2010-07-12",1,0,0,1,0,0,0,1,0,0
"32","2010-07-14",1,1,0,1,0,0,0,0,0,0
"33","2010-07-22",1,0,0,1,0,0,0,0,0,0
"34","2010-08-04",1,1,1,1,0,0,1,1,0,0
"35","2010-08-11",1,0,0,1,0,0,0,0,0,0
"36","2010-08-29",1,2,0,1,0,0,1,0,0,0
"37","2010-09-25",1,1,0,1,0,0,0,0,0,0
"38","2010-12-09",1,0,0,1,0,0,1,0,0,0
"39","2010-12-19",1,0,1,1,0,0,0,1,0,0
"40","2010-12-21",1,1,0,1,0,0,0,3,0,0
"41","2011-01-06",1,0,1,1,0,0,1,0,0,0
"42","2011-02-02",1,0,3,1,0,0,0,0,0,0
"43","2011-02-12",1,1,0,1,0,0,0,0,0,0
"44","2011-03-30",1,1,1,1,0,0,1,0,0,0
"45","2011-04-28",1,1,0,1,0,0,0,0,0,0
"46","2011-11-05",1,1,0,1,0,0,1,0,0,0
"47","2011-11-25",1,0,0,1,0,0,0,0,0,0
"48","2011-11-30",1,0,1,1,0,0,1,0,0,0
"49","2011-12-02",1,0,0,1,0,0,0,1,0,0
"50","2011-12-11",1,0,0,1,0,0,0,0,0,0
"51","2012-01-09",1,0,1,1,0,0,0,0,0,0
"52","2012-01-10",2,0,4,2,0,0,0,0,0,0
"53","2012-02-09",1,0,1,1,0,0,0,1,0,0
"54","2012-02-17",1,0,0,1,0,0,0,0,0,0
"55","2012-03-10",1,1,0,1,0,0,0,0,0,0
"56","2012-03-16",1,0,0,1,0,0,0,0,0,0
"57","2012-04-13",1,1,1,1,0,0,0,0,0,0
"58","2012-04-22",1,0,0,1,0,0,0,0,0,0
"59","2012-04-24",1,0,1,1,0,0,0,1,0,0
"60","2012-05-04",1,1,1,1,0,0,0,0,0,0
"61","2012-06-01",1,0,0,1,0,0,0,0,0,0
"62","2012-06-02",2,0,3,2,0,0,1,0,0,0
"63","2012-06-03",1,0,1,1,0,0,1,0,0,0
"64","2012-06-05",3,0,1,3,0,0,0,0,0,0
"65","2012-06-15",2,2,0,2,0,0,0,0,0,0
"66","2012-06-18",1,0,0,1,0,0,0,0,0,0
"67","2012-07-05",2,0,0,2,0,0,0,0,0,0
"68","2012-07-06",1,0,0,1,0,0,0,0,0,0
"69","2012-07-15",1,0,0,1,0,0,0,0,0,0
"70","2012-07-16",1,1,0,1,0,0,1,0,0,0
"71","2012-07-25",1,0,1,1,0,0,0,0,0,0
"72","2012-09-10",1,0,0,1,0,0,0,0,0,0
"73","2012-11-08",1,0,1,1,0,0,0,0,0,0
"74","2012-12-07",1,1,1,1,0,0,0,0,0,0
"75","2013-01-11",1,0,0,1,0,0,0,0,0,0
"76","2013-01-12",1,1,2,1,0,0,0,0,0,0
"77","2013-01-29",1,0,0,1,0,0,0,0,0,0
"78","2013-04-02",1,0,1,1,0,0,1,0,0,0
"79","2013-04-08",1,0,2,1,0,0,0,0,0,0
"80","2013-04-24",1,2,0,1,0,0,0,1,0,0
"81","2013-04-26",1,1,0,1,0,0,0,0,0,0
"82","2013-04-27",1,1,0,1,0,0,0,0,0,0
"83","2013-04-28",1,1,1,1,0,0,0,0,0,0
"84","2013-04-29",1,0,1,1,0,0,0,0,0,0
"85","2013-04-30",1,0,2,1,0,0,0,0,0,0
"86","2013-05-02",1,0,1,1,0,0,0,1,0,0
"87","2013-05-04",1,0,0,1,0,0,0,1,0,0
"88","2013-05-23",1,0,0,1,0,0,0,0,0,0
"89","2013-05-25",1,0,0,1,0,0,0,0,0,0
"90","2013-06-03",1,0,1,1,0,0,0,0,0,0
"91","2013-06-09",1,0,1,1,0,0,0,0,0,0
"92","2013-06-12",1,0,0,1,0,0,0,0,0,0
"93","2013-06-16",1,0,1,1,0,0,0,0,0,0
"94","2013-06-24",1,1,0,1,0,0,0,0,0,0
"95","2013-07-01",1,1,3,1,0,0,1,0,0,0
"96","2013-07-02",1,1,1,1,0,0,0,0,0,0
"97","2013-07-04",1,0,1,1,0,0,1,0,0,0
"98","2013-07-19",4,0,1,4,0,0,0,0,0,0
"99","2013-07-23",1,0,5,1,0,0,0,1,0,0
"100","2013-07-26",1,0,1,1,0,0,0,0,0,0
"101","2013-08-10",1,0,0,1,0,0,0,0,0,0
"102","2013-08-13",1,0,0,1,0,0,0,0,0,0
"103","2013-08-20",1,1,0,1,0,0,0,0,0,0
"104","2013-08-23",1,1,0,1,0,0,0,0,0,0
"105","2013-09-13",1,0,2,1,0,0,1,0,0,0
"106","2013-09-27",1,0,0,1,0,0,0,1,0,0
"107","2013-10-08",1,0,1,1,0,0,0,0,0,0
"108","2013-10-09",1,0,0,1,0,0,0,0,1,0
"109","2013-10-20",1,0,1,1,0,0,0,1,0,0
"110","2013-10-24",1,0,1,1,0,0,0,0,0,0
"111","2013-11-02",1,1,2,1,0,0,0,0,0,0
"112","2013-11-10",1,0,4,1,0,0,1,0,0,0
"113","2013-11-13",1,1,0,1,0,0,0,0,0,0
"114","2013-11-19",1,1,0,1,0,0,0,0,0,0
"115","2013-12-06",1,2,1,1,0,0,3,0,0,0
"116","2013-12-21",1,0,0,1,0,0,0,0,0,0
"117","2014-01-01",1,0,2,1,0,0,2,0,0,0
"118","2014-01-09",1,0,1,1,0,0,0,0,0,0
"119","2014-01-15",1,1,0,1,0,0,0,0,0,0
"120","2014-01-18",1,5,0,1,0,0,0,0,0,0
"121","2014-02-02",1,0,1,1,0,0,2,0,0,0
"122","2014-02-07",1,2,1,1,0,0,0,0,0,0
"123","2014-02-10",1,0,2,1,0,0,0,0,0,0
"124","2014-02-24",1,1,1,1,0,0,0,0,0,0
"125","2014-03-08",2,1,0,2,0,0,0,0,0,0
"126","2014-03-14",1,1,1,1,0,1,0,0,0,0
"127","2014-03-18",1,0,0,1,0,0,1,0,0,0
"128","2014-03-21",1,1,0,1,0,1,0,1,0,0
"129","2014-04-06",1,0,1,1,0,0,0,0,0,0
"130","2014-04-09",1,1,8,1,0,0,1,4,0,0
"131","2014-04-12",1,0,5,1,0,0,0,0,0,0
"132","2014-04-15",1,0,2,1,0,0,0,2,0,0
"133","2014-04-17",1,1,9,1,0,0,0,0,0,0
"134","2014-04-21",3,0,0,3,0,1,0,0,0,0
"135","2014-05-05",1,0,2,1,0,0,0,0,0,0
"136","2014-05-08",1,0,1,1,0,0,0,0,0,0
"137","2014-05-27",1,0,1,1,0,0,0,0,0,1
"138","2014-05-29",1,2,1,1,0,0,0,0,0,0
"139","2014-06-05",1,1,0,1,0,0,0,0,0,0
"140","2014-06-06",1,1,2,1,0,0,0,0,0,0
"141","2014-06-07",1,2,2,1,0,0,0,1,0,0
"142","2014-06-10",1,0,1,1,0,0,0,0,0,0
"143","2014-06-11",1,1,1,1,0,0,0,0,0,0
"144","2014-06-12",1,0,4,1,0,0,0,0,0,0
"145","2014-06-18",1,0,1,1,0,0,0,0,0,0
"146","2014-07-05",1,0,0,1,0,0,0,0,0,0
"147","2014-07-16",1,1,1,1,0,0,0,0,0,0
"148","2014-08-11",1,1,0,1,0,0,0,0,0,0
"149","2014-08-12",1,1,1,1,0,0,1,5,0,0
"150","2014-08-22",1,2,1,1,0,0,0,0,0,0
"151","2014-08-24",1,0,0,1,0,0,0,0,0,0
"152","2014-09-03",1,0,0,1,0,0,1,0,0,0
"153","2014-09-23",1,1,0,1,0,0,0,0,0,0
"154","2014-09-26",1,1,1,1,0,0,0,0,0,0
"155","2014-09-27",1,1,2,1,0,0,0,0,0,0
"156","2014-11-04",1,2,1,1,0,0,0,0,0,0
"157","2014-11-06",1,0,0,1,0,0,0,0,0,0
"158","2014-11-11",1,0,1,1,0,0,0,0,0,0
"159","2014-11-20",1,1,4,1,0,0,0,1,0,0
"160","2014-11-30",1,2,0,1,0,0,0,0,0,0
"161","2014-12-04",1,0,1,1,0,0,1,0,0,0
"162","2014-12-12",1,0,0,1,0,0,1,0,1,0
"163","2014-12-20",1,0,1,1,0,0,0,0,0,0
"164","2015-01-09",1,0,0,1,0,0,1,0,0,0
"165","2015-01-10",1,0,2,1,0,0,0,0,0,0
"166","2015-01-12",1,0,1,1,0,0,0,0,0,1
"167","2015-01-20",1,2,2,1,0,0,0,0,0,0
"168","2015-01-22",1,0,4,1,0,0,0,1,0,0
"169","2015-01-30",1,0,0,1,0,1,0,1,0,0
"170","2015-01-31",1,0,1,1,0,0,0,0,0,0
"171","2015-02-16",1,0,2,1,0,0,0,0,0,0
"172","2015-02-21",1,0,0,1,0,0,0,1,0,0
"173","2015-03-07",1,1,1,1,0,0,0,0,0,0
"174","2015-03-22",1,1,1,1,0,0,0,0,0,1
"175","2015-03-28",1,0,0,1,0,0,0,0,0,0
"176","2015-04-04",1,0,1,1,0,0,0,0,0,1
"177","2015-04-08",1,0,0,1,0,0,0,0,0,0
"178","2015-04-12",1,0,1,1,0,0,0,1,0,0
"179","2015-04-21",1,0,1,1,0,0,1,0,0,0
"180","2015-05-24",1,0,0,1,0,0,1,0,0,0
"181","2015-05-25",1,5,2,1,0,0,0,4,0,0
"182","2015-05-26",1,1,1,1,0,0,1,0,0,0
"183","2015-06-10",1,1,2,1,0,0,1,0,0,0
"184","2015-06-17",1,0,1,1,0,0,0,0,0,0
"185","2015-07-31",1,1,0,1,0,0,1,0,0,0
"186","2015-08-13",3,0,6,3,0,0,0,0,0,1
"187","2015-08-14",1,0,0,1,0,0,0,0,0,0
"188","2015-10-03",2,4,4,2,0,0,1,0,2,0
"189","2015-10-22",1,1,0,1,0,0,1,0,0,0
"190","2015-10-25",1,2,3,1,0,0,0,0,0,0
"191","2015-11-23",1,2,3,1,0,0,0,1,0,0
"192","2015-12-13",1,0,1,1,0,0,1,0,0,0
"193","2015-12-23",1,0,1,1,0,0,0,0,0,0
"194","2015-12-25",1,0,1,1,0,0,1,0,0,0
"195","2007-01-05",1,1,0,0,0,0,0,0,0,0
"196","2007-01-08",1,1,0,0,0,0,0,0,0,0
"197","2007-01-24",1,1,2,0,0,0,0,0,0,0
"198","2007-01-28",1,1,0,0,0,0,0,0,0,0
"199","2007-02-02",2,2,0,0,0,0,0,0,0,0
"200","2007-02-08",1,1,1,0,0,0,0,0,0,0
"201","2007-02-09",1,1,1,0,0,0,0,0,0,0
"202","2007-02-15",1,1,0,0,0,0,0,0,0,0
"203","2007-02-24",1,1,0,0,0,0,0,0,0,0
