"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"1","","Taliban","1838",187,1359,0
"2","","Taliban","2610",187,1359,0
"3","Aab Kamra","Taliban","1838",291,1359,0
"4","Aabgarmak","Taliban","2610",512,1359,0
"5","Ab-e Jalil","Taliban","1838",937,1359,0
"6","Ab-e Khorma","Taliban","1838",121,1359,0
"7","Ab Band","Taliban","1838",152,1359,0
"8","Ab Band","Taliban","2610",152,1359,0
"9","Ab Band district","Taliban","1838",345,1359,0
"10","Ab Band district","Taliban","2610",345,1359,0
"11","Ab Kamari district","Taliban","1838",640,1359,0
"12","Abband","Taliban","1838",373,1359,0
"13","Abbazhai","Taliban","1838",1222,1359,0
"14","Abdul Rauf","Taliban","1838",1231,1359,0
"15","Abdurrahim","Taliban","1838",755,1359,0
"16","Abu Jan","Taliban","2610",1071,1359,0
"17","Abu Naw","Taliban","1838",911,1359,0
"18","Abu Qala","Taliban","1838",240,1359,0
"19","Abyak","Taliban","1838",889,1359,0
"20","Abyak","Taliban","2610",889,1359,0
"21","Achin","Taliban","1838",570,1359,0
"22","Achin","Taliban","2610",570,1359,0
"23","Achin district","Taliban","1838",399,1359,0
"24","Achin district","Taliban","2610",399,1359,0
"25","Ad Band district","Taliban","1838",127,1359,0
"26","Adam Kala","Taliban","1838",1212,1359,0
"27","Adam Khan","Taliban","1838",1129,1359,0
"28","Adraskan district","Taliban","2610",546,1359,0
"29","Afghan Tapa","Taliban","1838",672,1359,0
"30","Agha Qala","Taliban","2610",415,1359,0
"31","Ahmad Abad district","Taliban","1838",1245,1359,0
"32","Ahmadabad district","Taliban","2610",651,1359,0
"33","Ainak","Taliban","2610",329,1359,0
"34","Ajristan","Taliban","1838",142,1359,0
"35","Ajristan district","Taliban","2610",950,1359,0
"36","Akazai","Taliban","2610",619,1359,0
"37","Akhund Zada Kalay","Taliban","2610",835,1359,0
"38","Akhundkhel","Taliban","2610",97,1359,0
"39","Alam Kala","Taliban","1838",1010,1359,0
"40","Alam Khel","Taliban","2610",545,1359,0
"41","Alasay","Taliban","1838",318,1359,0
"42","Alasay district","Taliban","1838",370,1359,0
"43","Alasay district","Taliban","2610",370,1359,0
"44","Alawudin-Mangal","Taliban","2610",484,1359,0
"45","Albakan","Taliban","1838",475,1359,0
"46","Alchin","Taliban","2610",238,1359,0
"47","Ali Kala","Taliban","2610",1155,1359,0
"48","Ali Khan Qala","Taliban","2610",1280,1359,0
"49","Ali Shir","Taliban","1838",199,1359,0
"50","Ali Shir","Taliban","2610",199,1359,0
"51","Aliabad","Taliban","2610",320,1359,0
"52","Aliabad district","Taliban","1838",1108,1359,0
"53","Alikhel","Taliban","2610",350,1359,0
"54","Alingar","Taliban","1838",297,1359,0
"55","Alingar","Taliban","2610",297,1359,0
"56","Alingar district","Taliban","1838",641,1359,0
"57","Alingar district","Taliban","2610",641,1359,0
"58","Alishang","Taliban","1838",273,1359,0
"59","Alisher","Taliban","1838",472,1359,0
"60","Alisher","Taliban","2610",472,1359,0
"61","Alisher district","Taliban","1838",526,1359,0
"62","Alisher district","Taliban","2610",526,1359,0
"63","Alishing","Taliban","2610",92,1359,0
"64","Alishing district","Taliban","1838",96,1359,0
"65","Alishing district","Taliban","2610",96,1359,0
"66","Alizay","Taliban","2610",1025,1359,0
"67","Almar","Taliban","2610",314,1359,0
"68","Almar district","Taliban","1838",720,1359,0
"69","Almar district","Taliban","2610",720,1359,0
"70","Alqanaq","Taliban","2610",1313,1359,0
"71","Altamur","Taliban","2610",1266,1359,0
"72","Alyasabad","Taliban","1838",1081,1359,0
"73","Amanullah Karez","Taliban","2610",883,1359,0
"74","Ambukhar","Taliban","2610",434,1359,0
"75","Anar Dara district","Taliban","1838",1211,1359,0
"76","Anar Joy","Taliban","2610",1000,1359,0
"77","Anar Shela","Taliban","1838",64,1359,0
"78","Ancho","Taliban","2610",1301,1359,0
"79","Andar","Taliban","1838",196,1359,0
"80","Andar","Taliban","2610",196,1359,0
"81","Andar district","Taliban","1838",81,1359,0
"82","Andar district","Taliban","2610",81,1359,0
"83","Andarano","Taliban","2610",1321,1359,0
"84","Andkhoy district","Taliban","2610",1068,1359,0
"85","Aq Tapa","Taliban","1838",296,1359,0
"86","Aq Tapa","Taliban","2610",296,1359,0
"87","Aqcha district","Taliban","1838",258,1359,0
"88","Aqcha district","Taliban","2610",258,1359,0
"89","Aqsai","Taliban","2610",441,1359,0
"90","Aqso","Taliban","1838",1202,1359,0
"91","Aqsvi","Taliban","1838",1097,1359,0
"92","Arabmazari","Taliban","2610",495,1359,0
"93","Arbab Khalil","Taliban","2610",1134,1359,0
"94","Archi District","Taliban","1838",639,1359,0
"95","Arghandab","Taliban","2610",198,1359,0
"96","Arghandab district","Taliban","1838",393,1359,0
"97","Arghandab district","Taliban","2610",393,1359,0
"98","Arghandi","Taliban","1838",1186,1359,0
"99","Arghastan","Taliban","1838",287,1359,0
"100","Arghistan district","Taliban","1838",61,1359,0
"101","Arghistan district","Taliban","2610",61,1359,0
"102","Arkalik","Taliban","1838",1033,1359,0
"103","Aryob Zazi","Taliban","1838",739,1359,0
"104","Aryob Zazi","Taliban","2610",739,1359,0
"105","Arzi Balochi","Taliban","1838",1287,1359,0
"106","Arzo","Taliban","1838",1342,1359,0
"107","Asadabad","Taliban","1838",52,1359,0
"108","Asadabad","Taliban","2610",52,1359,0
"109","Asadabad district","Taliban","1838",1046,1359,0
"110","Askarkot","Taliban","1838",170,1359,0
"111","Asmar","Taliban","1838",193,1359,0
"112","Asmar","Taliban","2610",193,1359,0
"113","Asmar district","Taliban","2610",772,1359,0
"114","Astana Baba","Taliban","2610",1118,1359,0
"115","Ataghar","Taliban","2610",164,1359,0
"116","Atak","Taliban","2610",887,1359,0
"117","Atghar district","Taliban","1838",625,1359,0
"118","Atul","Taliban","2610",614,1359,0
"119","Aybak","Taliban","2610",549,1359,0
"120","Ayub Khel","Taliban","1838",342,1359,0
"121","Ayuba","Taliban","2610",177,1359,0
"122","Azizabad","Taliban","1838",385,1359,0
"123","Azizabad","Taliban","2610",385,1359,0
"124","Azra district","Taliban","1838",899,1359,0
"125","Azra district","Taliban","2610",899,1359,0
"126","Baba Nazar","Taliban","2610",1232,1359,0
"127","Babaji","Taliban","1838",1177,1359,0
"128","Babrak Tana","Taliban","1838",1057,1359,0
"129","Babukhel","Taliban","1838",676,1359,0
"130","Babur","Taliban","2610",149,1359,0
"131","Babus","Taliban","1838",577,1359,0
"132","Bad Pakh district","Taliban","2610",617,1359,0
"133","Bad Pas","Taliban","1838",1334,1359,0
"134","Badghisi","Taliban","2610",817,1359,0
"135","Badiabad","Taliban","2610",596,1359,0
"136","Badkhap Roghani","Taliban","2610",1320,1359,0
"137","Badpash","Taliban","2610",935,1359,0
"138","Badwan","Taliban","1838",534,1359,0
