"","ID","nName","nodeDegree","nodeBetweenness"
"Kabul",0,"Kabul",1,0
"Yakawlang",1,"Yakawlang",1,0
"Khodja Baha ud din",2,"Khodja Baha ud din",1,0
"Unknown",3,"Unknown",1,0
"Khost",4,"Khost",1,0
"Ghazni",5,"Ghazni",1,0
"Jalalabad",6,"Jalalabad",1,0
"Kandahar",7,"Kandahar",1,0
"Panjwai district",8,"Panjwai district",1,0
"Spin Boldak",9,"Spin Boldak",1,0
"Lashkar Gah",10,"Lashkar Gah",1,0
"Bala Murghab",11,"Bala Murghab",1,0
"Shahjoy district",12,"Shahjoy district",1,0
"Kajaki",13,"Kajaki",1,0
"Lalmi",14,"Lalmi",1,0
"Sheikhabad",15,"Sheikhabad",1,0
"Ghorak district",16,"Ghorak district",1,0
"Chahar Bagh",17,"Chahar Bagh",1,0
"Disho",18,"Disho",1,0
"Dagu",19,"Dagu",1,0
"Shah Wali Kot District",20,"Shah Wali Kot District",1,0
"Muqur district",21,"Muqur district",1,0
"Jadran district",22,"Jadran district",1,0
"Oz Khushk",23,"Oz Khushk",1,0
"Sangin",24,"Sangin",1,0
"Gardez",25,"Gardez",1,0
"Qalat",26,"Qalat",1,0
"Shakin",27,"Shakin",1,0
"Spin Ghabargah",28,"Spin Ghabargah",1,0
"Khakrez",29,"Khakrez",1,0
"Barmal",30,"Barmal",1,0
"Delaram",31,"Delaram",1,0
"Panjwai",32,"Panjwai",1,0
"Khair Khana",33,"Khair Khana",1,0
"Qades District",34,"Qades District",1,0
"Mizan",35,"Mizan",1,0
"Spin Boldak district",36,"Spin Boldak district",1,0
"Khas Uruzgan",37,"Khas Uruzgan",1,0
"Bila Khel",38,"Bila Khel",1,0
"Khak-e Afghan",39,"Khak-e Afghan",1,0
"Mihtarlam",40,"Mihtarlam",1,0
"Puli Alam",41,"Puli Alam",1,0
"Faizabad",42,"Faizabad",1,0
"Tarin Kot",43,"Tarin Kot",1,0
"Sarabzel",44,"Sarabzel",1,0
"Reg district",45,"Reg district",1,0
"Shewan",46,"Shewan",1,0
"Sar Marda",47,"Sar Marda",1,0
"Char Chinah",48,"Char Chinah",1,0
"Chakul",49,"Chakul",1,0
"Nomesh",50,"Nomesh",1,0
"Panjwayi",51,"Panjwayi",1,0
"Asadabad",52,"Asadabad",1,0
"Maywand district",53,"Maywand district",1,0
"Yaqubi",54,"Yaqubi",1,0
"Dand",55,"Dand",1,0
"Disho district",56,"Disho district",1,0
"Daylanor",57,"Daylanor",1,0
"Shindand district",58,"Shindand district",1,0
"Karez",59,"Karez",1,0
"Mullah Masaud",60,"Mullah Masaud",1,0
"Arghistan district",61,"Arghistan district",1,0
"Sharan",62,"Sharan",1,0
"Charchino district",63,"Charchino district",1,0
"Anar Shela",64,"Anar Shela",1,0
"Mazu",65,"Mazu",1,0
"Nazar Kheil",66,"Nazar Kheil",1,0
"Botakhel",67,"Botakhel",1,0
"Hazar Juft",68,"Hazar Juft",1,0
"Nawzad",69,"Nawzad",1,0
"Bahram Chah",70,"Bahram Chah",1,0
"Bak district",71,"Bak district",1,0
"Sangin district",72,"Sangin district",1,0
"Gereshk",73,"Gereshk",1,0
"Shah Wali Kot district",74,"Shah Wali Kot district",1,0
"Nad Ali district",75,"Nad Ali district",1,0
"Gulistan district",76,"Gulistan district",1,0
"Musa Qala district",77,"Musa Qala district",1,0
"Ghanikhel",78,"Ghanikhel",1,0
"Bala Baluk district",79,"Bala Baluk district",1,0
"Char Borjak",80,"Char Borjak",1,0
"Andar district",81,"Andar district",1,0
"Nawa-i-Barakzayi district",82,"Nawa-i-Barakzayi district",1,0
"Nadir Shah Kot district",83,"Nadir Shah Kot district",1,0
"Farah",84,"Farah",1,0
"Khash Rod district",85,"Khash Rod district",1,0
"Garmser district",86,"Garmser district",1,0
"Herat",87,"Herat",1,0
"Ismail Khel",88,"Ismail Khel",1,0
"Barmal district",89,"Barmal district",1,0
"Yosuf Khel district",90,"Yosuf Khel district",1,0
"Waygal district",91,"Waygal district",1,0
"Alishing",92,"Alishing",1,0
"Zahri district",93,"Zahri district",1,0
"Baghran district",94,"Baghran district",1,0
"Hawz Madad",95,"Hawz Madad",1,0
"Alishing district",96,"Alishing district",1,0
"Akhundkhel",97,"Akhundkhel",1,0
"Giro district",98,"Giro district",1,0
"Khogyani district",99,"Khogyani district",1,0
"Yawalak Tangi",100,"Yawalak Tangi",1,0
"Shah Joy district",101,"Shah Joy district",1,0
"Puli Khumri",102,"Puli Khumri",1,0
"Korangal",103,"Korangal",1,0
"Dangam district",104,"Dangam district",1,0
"Baghran",105,"Baghran",1,0
"Khan Shine",106,"Khan Shine",1,0
"Wazakhwa district",107,"Wazakhwa district",1,0
"Bakwa",108,"Bakwa",1,0
"Shinkay district",109,"Shinkay district",1,0
"Qalandar",110,"Qalandar",1,0
"Hasan Karez",111,"Hasan Karez",1,0
"Masayi",112,"Masayi",1,0
"Gomal district",113,"Gomal district",1,0
"Khogyani",114,"Khogyani",1,0
"Urgun",115,"Urgun",1,0
"Taloqan",116,"Taloqan",1,0
"Haji Amin Kalay",117,"Haji Amin Kalay",1,0
"Bagram Air Field",118,"Bagram Air Field",1,0
"Bakwa district",119,"Bakwa district",1,0
"Shambawat",120,"Shambawat",1,0
"Ab-e Khorma",121,"Ab-e Khorma",1,0
"Loy Wala",122,"Loy Wala",1,0
"Basram",123,"Basram",1,0
"Wama district",124,"Wama district",1,0
"Zurmat district",125,"Zurmat district",1,0
"Shamulzayi district",126,"Shamulzayi district",1,0
"Ad Band district",127,"Ad Band district",1,0
"Kunduz",128,"Kunduz",1,0
"Yahya Khel district",129,"Yahya Khel district",1,0
"Tirin Kot district",130,"Tirin Kot district",1,0
"Sangi Sar",131,"Sangi Sar",1,0
"Dawud Kala",132,"Dawud Kala",1,0
"Miri",133,"Miri",1,0
"Nirkh district",134,"Nirkh district",1,0
"Daychopan district",135,"Daychopan district",1,0
"Nahrin district",136,"Nahrin district",1,0
"Qarabagh district",137,"Qarabagh district",1,0
"Karany",138,"Karany",1,0
"Murghab district",139,"Murghab district",1,0
"Gorbaz",140,"Gorbaz",1,0
"Mizan district",141,"Mizan district",1,0
"Ajristan",142,"Ajristan",1,0
"Rashidan district",143,"Rashidan district",1,0
"Butkhana",144,"Butkhana",1,0
"Shahr-e Safa",145,"Shahr-e Safa",1,0
"Shwak",146,"Shwak",1,0
"Manogay",147,"Manogay",1,0
"Bak",148,"Bak",1,0
"Babur",149,"Babur",1,0
"Hazarat",150,"Hazarat",1,0
"Nijrab district",151,"Nijrab district",1,0
"Ab Band",152,"Ab Band",1,0
"Nad Ali",153,"Nad Ali",1,0
"Maydan Shahr",154,"Maydan Shahr",1,0
"Charwarkhel",155,"Charwarkhel",1,0
"Godaley",156,"Godaley",1,0
"Chaparhar district",157,"Chaparhar district",1,0
"Shahidi Hasas district",158,"Shahidi Hasas district",1,0
"Sayid Karam district",159,"Sayid Karam district",1,0
"Jalai district",160,"Jalai district",1,0
"Dihrawud district",161,"Dihrawud district",1,0
"Ghoryan district",162,"Ghoryan district",1,0
"Zaranj",163,"Zaranj",1,0
"Ataghar",164,"Ataghar",1,0
"Paghman",165,"Paghman",1,0
"Jaghatu district",166,"Jaghatu district",1,0
"Deh Sala district",167,"Deh Sala district",1,0
"Ghorghory",168,"Ghorghory",1,0
"Bakhsh Abad",169,"Bakhsh Abad",1,0
"Askarkot",170,"Askarkot",1,0
"Kohi Safi district",171,"Kohi Safi district",1,0
"Kala Zal",172,"Kala Zal",1,0
"Nad Ali District",173,"Nad Ali District",1,0
"Sabari district",174,"Sabari district",1,0
"Tere Zayi district",175,"Tere Zayi district",1,0
"Gozarah district",176,"Gozarah district",1,0
"Ayuba",177,"Ayuba",1,0
"Chahar Bolak district",178,"Chahar Bolak district",1,0
"Zakar Khel",179,"Zakar Khel",1,0
"Mazari Sharif",180,"Mazari Sharif",1,0
"Kalata-i-Nazar",181,"Kalata-i-Nazar",1,0
"Chahar Dara district",182,"Chahar Dara district",1,0
"Gari",183,"Gari",1,0
"Mandisar",184,"Mandisar",1,0
"Khash Rod",185,"Khash Rod",1,0
"Qaysar",186,"Qaysar",1,0
"",187,"",1,0
"Raken",188,"Raken",1,0
"Waz-i-Jadran",189,"Waz-i-Jadran",1,0
"Muhmand Dara district",190,"Muhmand Dara district",1,0
"Shinkay",191,"Shinkay",1,0
"Khak Chopan",192,"Khak Chopan",1,0
"Asmar",193,"Asmar",1,0
"Zaneh Khan",194,"Zaneh Khan",1,0
"Rodat district",195,"Rodat district",1,0
"Andar",196,"Andar",1,0
"Khurwar",197,"Khurwar",1,0
"Arghandab",198,"Arghandab",1,0
"Ali Shir",199,"Ali Shir",1,0
"Nawrozkhel",200,"Nawrozkhel",1,0
"Lash Wa Juwayn",201,"Lash Wa Juwayn",1,0
"Qarghayi",202,"Qarghayi",1,0
"Qala-i Khan",203,"Qala-i Khan",1,0
"Zarghun Shahr district",204,"Zarghun Shahr district",1,0
"Dihrawud",205,"Dihrawud",1,0
"Sar Hawza district",206,"Sar Hawza district",1,0
"Dangam",207,"Dangam",1,0
"Khala",208,"Khala",1,0
"Shahark district",209,"Shahark district",1,0
"Tatank",210,"Tatank",1,0
"Chawkay",211,"Chawkay",1,0
"Sardar",212,"Sardar",1,0
"Sholgara",213,"Sholgara",1,0
"Khas Kunar",214,"Khas Kunar",1,0
"Ghorak",215,"Ghorak",1,0
"Kandikhel",216,"Kandikhel",1,0
"Puli Khumri district",217,"Puli Khumri district",1,0
"Maywand",218,"Maywand",1,0
"Waghaz",219,"Waghaz",1,0
"Dwahmande",220,"Dwahmande",1,0
"Shirin Tagab",221,"Shirin Tagab",1,0
"Moqori",222,"Moqori",1,0
"Bati Kot district",223,"Bati Kot district",1,0
"Dand Wa Patan",224,"Dand Wa Patan",1,0
"Khayr Kot",225,"Khayr Kot",1,0
"Chaharikar",226,"Chaharikar",1,0
"Sori",227,"Sori",1,0
"Chanjeer",228,"Chanjeer",1,0
"Karzai Kotal",229,"Karzai Kotal",1,0
"Karim Daad",230,"Karim Daad",1,0
"Sabari",231,"Sabari",1,0
"Shamulzayi",232,"Shamulzayi",1,0
"Haskah Mena",233,"Haskah Mena",1,0
"Syuri",234,"Syuri",1,0
"Surobi",235,"Surobi",1,0
"Sayadan",236,"Sayadan",1,0
"Gozarah",237,"Gozarah",1,0
"Alchin",238,"Alchin",1,0
"Qarabagh",239,"Qarabagh",1,0
"Abu Qala",240,"Abu Qala",1,0
"Garmser",241,"Garmser",1,0
"Taywara",242,"Taywara",1,0
"Muhammad Agha",243,"Muhammad Agha",1,0
"Chichkeh",244,"Chichkeh",1,0
"Spin Ghar",245,"Spin Ghar",1,0
"Bargi Matal",246,"Bargi Matal",1,0
"Syah Koshah",247,"Syah Koshah",1,0
"Baghlan",248,"Baghlan",1,0
"Baharak",249,"Baharak",1,0
"Tani",250,"Tani",1,0
"Darah ye Nur",251,"Darah ye Nur",1,0
"Bish Ara",252,"Bish Ara",1,0
"Muqur",253,"Muqur",1,0
"Shah Joy",254,"Shah Joy",1,0
"Sayid Karam",255,"Sayid Karam",1,0
"Dih Sabz",256,"Dih Sabz",1,0
"Mingajik",257,"Mingajik",1,0
"Aqcha district",258,"Aqcha district",1,0
"Imam Sahib",259,"Imam Sahib",1,0
"Yahya Khel",260,"Yahya Khel",1,0
"Jani Khel",261,"Jani Khel",1,0
"Deh-Jawz",262,"Deh-Jawz",1,0
"Sherzad district",263,"Sherzad district",1,0
"Chora",264,"Chora",1,0
"Nadir Shah Kot",265,"Nadir Shah Kot",1,0
"Mandowzi",266,"Mandowzi",1,0
"Murghab",267,"Murghab",1,0
"Nijrab",268,"Nijrab",1,0
"Chahar Dara",269,"Chahar Dara",1,0
"Ziruk",270,"Ziruk",1,0
"Khanabad",271,"Khanabad",1,0
"Pusht Rod",272,"Pusht Rod",1,0
"Alishang",273,"Alishang",1,0
"Sher Baik",274,"Sher Baik",1,0
"Chahar Bolak",275,"Chahar Bolak",1,0
"Takhta Pul",276,"Takhta Pul",1,0
"Dwah Mande",277,"Dwah Mande",1,0
"Dawlatabad",278,"Dawlatabad",1,0
"Gizab",279,"Gizab",1,0
"Dashti Archi district",280,"Dashti Archi district",1,0
"Nahri Saraj district",281,"Nahri Saraj district",1,0
"Marja",282,"Marja",1,0
"Qades",283,"Qades",1,0
"Lakan",284,"Lakan",1,0
"Dashti Archi",285,"Dashti Archi",1,0
"Surkh Rod",286,"Surkh Rod",1,0
"Arghastan",287,"Arghastan",1,0
"Kishim",288,"Kishim",1,0
"Sirkanay",289,"Sirkanay",1,0
"Shurandam",290,"Shurandam",1,0
"Aab Kamra",291,"Aab Kamra",1,0
"Chamkani district",292,"Chamkani district",1,0
"Dahana-i-Ghuri",293,"Dahana-i-Ghuri",1,0
"Waghaz district",294,"Waghaz district",1,0
"Kishindih district",295,"Kishindih district",1,0
"Aq Tapa",296,"Aq Tapa",1,0
"Alingar",297,"Alingar",1,0
"Rabat-i-Sangi district",298,"Rabat-i-Sangi district",1,0
"Baraki Barak",299,"Baraki Barak",1,0
"Char Tut",300,"Char Tut",1,0
"Charkh",301,"Charkh",1,0
"Baghlani Jadid district",302,"Baghlani Jadid district",1,0
"Dawlatabad district",303,"Dawlatabad district",1,0
"Dehak",304,"Dehak",1,0
"Ghoryan",305,"Ghoryan",1,0
"Baghlan district",306,"Baghlan district",1,0
"Borka",307,"Borka",1,0
"Tala Bepak",308,"Tala Bepak",1,0
